Vehiculo|Grupo|Calificacion|kms|Horas conduccion|Excesos 10 kph|Maxima vel 10 kph|Duracion seg 10 kph|Excesos 20 kph|Maxima vel 20 kph|Duracion seg 20 kph|Excesos 30 kph|Maxima vel 30 kph|Duracion seg 30 kph|Excesos 40 kph|Maxima vel 40 kph|Duracion seg 40 kph|Excesos 50 kph|Maxima vel 50 kph|Duracion seg 50 kph|Excesos 60 kph|Maxima vel 60 kph|Duracion seg 60 kph|Excesos 80 kph|Maxima vel 80 kph|Duracion seg 80 kph|Aceleraciones|Frenadas|
KYZ099||100|675999.10|64.02|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
LHT925||100|4592.68|355.09|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|16|
QNN496||100|4383.98|415.47|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|5|
LHR955|ECOPETROL VRC-MARES CENTRO|100|3862.71|119.28|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|35|
LHT919||100|3817.40|275.66|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|32|
LHR948|ECOPETROL VRC-MARES CENTRO|100|3599.87|123.97|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|14|
GSO603|RHurtado|100|3326.97|128.18|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|6|
LHT899|ECOPETROL VRC-MARES CENTRO|100|3203.52|91.96|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|19|
LHT947||100|3018.88|194.61|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
LHW539|RHurtado|100|2875.82|78.19|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|4|24|
KYZ107|ECOPETROL VRC-MARES CENTRO|100|2744.08|125.30|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|30|
LHR659|ECOPETROL VRC-MARES CENTRO|100|2723.65|107.56|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|55|
LHT929|ECOPETROL VRC-MARES CENTRO|100|2684.41|132.31|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|16|
LHT809||100|2655.81|140.62|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|7|
LQU707||100|2642.38|78.64|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|9|
LVX522||100|2571.34|73.71|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|4|
JOU738|ENEL2024|100|2538.75|119.72|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|3|
KYZ111||100|2432.43|168.59|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|3|
LHT839||100|2395.54|117.84|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|
LHT107|ECOPETROL VRC-MARES CENTRO|100|2393.91|79.51|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|24|
KTM243|ECOPETROL VRC-MARES CENTRO|100|2377.14|104.33|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|14|
KYZ085|RHurtado|100|2320.92|110.49|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|5|
LHT111||100|2280.48|117.36|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|18|
LHT945|ECOPETROL VRC-MARES CENTRO|100|2279.83|85.39|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|10|
LUY746|DRUMMOND MANTTO GEOLOGÍA|100|2266.38|93.55|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|13|
GKP994|ECOPETROL VRC-MARES CENTRO|100|2242.33|112.96|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|23|
GLR384|ECOPETROL VRC-RIO CASABE|100|2179.28|150.54|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|
LHR950|RHurtado|100|2148.47|85.32|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|4|
