Nombre|Conductor|Anexo|Placa|Lat|Lon|Ubicacion|Ciudad|Poblacion Cercana|Punto de Interes|Lugar|Evento|kph|Hora Reporte|Rumbo
BMV19H|Hector Hernando Gomez Merchan||BMV19H|4.406237|-73.938058|A 435 m. de Barrio El Palmar|Cáqueza - Cundinamarca|959 m. E.: Cáqueza, Cundinamarca|435 m. NE.: Barrio El Palmar|En: ENE 6234 OPEX SOT-SOC|Hibernacion|0|2026-06-08 14:13:22|303
BMV20H|Rigoberto Martinez Lozano||BMV20H|4.41168|-73.952956|Cl8 7 696|Cáqueza - Cundinamarca|967 m. NW.: Cáqueza, Cundinamarca|328 m. S.: Retén Militar|En: ENE 6234 OPEX SOT-SOC|Hibernacion|0|2026-06-08 12:37:37|125
BVJ95G|||BVJ95G|4.591748|-74.229053|Cl5aSur 18j 133|Soacha - Cundinamarca|1.6 Km. NW.: Soacha, Cundinamarca|91 m. SW.: Conjunto La Grandeza 2|94.8 Km. SE.: CENIT ESTACIONES-PUERTO SALGAR|Hibernacion|0|2026-06-08 13:27:19|240
CUD86I|||CUD86I|4.577367|-74.210286|Kr5aEste 22 12|Soacha - Cundinamarca|1.1 Km. SE.: Soacha, Cundinamarca|16 m. E.: Chance Paga Todo Cl22|En: CENIT ESTACIONES-PUERTO SALGAR|Hibernacion|0|2026-06-08 14:47:06|267
DHQ25I|||DHQ25I|4.636801|-74.115131|Kr65b 13 62|Bogotá D.C. - Cundinamarca|1.8 Km. SW.: Bogotá D.C., Cundinamarca|27 m. NE.: Fraco Fábrica Colombiana de Repuestos Aut|En: ENE 6234 OPEX SOT-SOC|Hibernacion|0|2026-06-07 07:45:44|0
DMO583|||DMO583|7.018192|-73.807136|Km 5 Barrancabermeja-Troncal Magdalena|Barrancabermeja - Santander|298 m. W.: Los Laureles, Barrancabermeja, Santander|294 m. NW.: Halliburton|En: CONSORCIO TABARCA-BARRANCABERMEJA|TDR Apagado|0|2026-06-08 14:47:19|311
DUZ56G|||DUZ56G|4.765668|-74.050901|Cl186 55b 53|Bogotá D.C. - Cundinamarca|4.6 Km. NE.: Suba, Bogotá D.C., Cundinamarca|9 m. S.: Restaurante Chispa Americana|En: ENE 6234 OPEX SOT-SOC|Hibernacion|1|2026-06-08 13:43:48|56
EQZ817|||EQZ817|4.75422|-74.151643|PR 140 Km3 Bogota - El Rosal|Cota - Cundinamarca|6.7 Km. NW.: Engativá, Bogotá D.C., Cundinamarca|77 m. SW.: Eagle Equipment And Parts Llc|En: CENIT ESTACIONES-PUERTO SALGAR|TDR Apagado|0|2026-03-03 07:37:00|0
ESX962|||ESX962|4.410574|-73.929292|PR 29 Km29 Bogota - Villavicencio|Cáqueza - Cundinamarca|2.0 Km. E.: Cáqueza, Cundinamarca|558 m. W.: Montallantas Km18|En: ENE 6234 OPEX SOT-SOC|TDR Apagado|0|2026-06-08 14:48:49|7
EYZ521|||EYZ521|8.635432|-72.732372|Kr3 2 73|Tibú - Norte de Santander|970 m. SE.: Tibú, Norte de Santander|57 m. SW.: Colegio Francisco Jose de Caldas|En: PARQUEDERO TIBÚ|TDR Apagado|0|2026-06-08 14:58:00|180
EYZ587|||EYZ587|8.635336|-72.732443|Kr4 2 66|Tibú - Norte de Santander|973 m. SE.: Tibú, Norte de Santander|69 m. SW.: Colegio Francisco Jose de Caldas|En: PARQUEDERO TIBÚ|TDR Apagado|0|2026-06-08 15:00:17|257
EYZ828|||EYZ828|8.635232|-72.732422|Kr4 2 52|Tibú - Norte de Santander|984 m. SE.: Tibú, Norte de Santander|74 m. SW.: Colegio Francisco Jose de Caldas|En: PARQUEDERO TIBÚ|TDR Apagado|0|2026-06-08 14:55:37|345
EYZ857|Gabriel Angel Quintero Ropero||EYZ857|8.176292|-72.553986||El Zulia - Norte de Santander|6.8 Km. W.: La Buena Esperanza, Cúcuta, Norte de Santander|8.3 Km. W.: Efecty|32.4 Km. N.: ECOPETROL VRC-ORIPAYA CÚCUTA|TDR Encendido|6|2026-06-08 15:01:28|202
EYZ893|||EYZ893|8.63525|-72.73218|Kr3 2 43|Tibú - Norte de Santander|998 m. SE.: Tibú, Norte de Santander|54 m. SW.: Colegio Francisco Jose de Caldas|En: PARQUEDERO TIBÚ|TDR Apagado|0|2026-06-08 14:54:43|286
EZK035|||EZK035|8.64209|-72.704004|A 2992 m. de Aeropuerto Tibu|Tibú - Norte de Santander|3.7 Km. E.: Tibú, Norte de Santander|3.0 Km. NE.: Aeropuerto Tibu|En: ECOPETROL VRC_GCT_CATATUMBO (TIBÚ)|Log Out|0|2026-06-08 15:00:01|169
EZK084|||EZK084|8.641576|-72.70439|A 2931 m. de Aeropuerto Tibu|Tibú - Norte de Santander|3.7 Km. E.: Tibú, Norte de Santander|2.9 Km. NE.: Aeropuerto Tibu|En: ECOPETROL VRC_GCT_CATATUMBO (TIBÚ)|TDR Apagado|0|2026-06-08 15:01:28|188
